Uni
"IIIT Nuzvid, Rajiv Gandhi University of Knowledge Technologies"
"State Board of Technical Education & Training, Andhra Pradesh"
Assam Higher Secondary Education Council
Bihar School Examination Board
Chhattisgarh Board of Secondary Education- Raipur
"Chhattisgarh Sanskrit Board, Raipur"
"Chhattisgarh State Open School, Raipur"
National Institute of Open  Schooling
CBSE
Board of Technical Education
State Council of Education Research and Training
Goa Board of Secondary and Higher Secondary Education (GBSHSE)
"Himachal Pradesh Takniki Shiksha board, Dharamshala"
J & K State Board of School Education
"Board of Technical Examination, Bengaluru"
"M.P. State Open School Education Board, Bhopal"
"Maharshi Patanjali Sanskrit Sansthan, Bhopal"
"BOARD OF SECONDARY EDUCATION, MANIPUR"
Council of HR Secondary Education Manipur
Meghalaya Board of school education
Mizoram Board of School Education
Mizoram state Council for technical Education
Nagaland Board Of School Education
The Punjab State Board of Technical Education and Industrial Training
Board of Technical Education-Rajasthan
"Directorate of Government Examination,Chennai"
State Board Of Technical Education And Training Telangana
Tripura Board of Secondary Education (TBSE)
"Board of Technical Education, Lucknow"
U.P. Board of High School & Intermediate Education
West Bengal State Council Of Technical & Vocational Education And Skill Development
"Indian Institute of Technology, Tirupati"
"National Institute of Technology, Andhra Pradesh"
"IIIT Srikakulam, Rajiv Gandhi University of Knowledge Technologies"
"Indian Institute of Science Education & Research (IISER), Tirupati"
National Institute of Technology Arunachal Pradesh
"National Institute of Technology, Silchar"
Indian Institute of Management Bodh Gaya
"All India Institute of Medical Sciences, Patna"
"Indian Institute of Technology, Patna"
"National Institute of Technology, Patna"
"National Institute of Technology, Raipur"
"Indian Institute of Management, Raipur"
RITEE Business School
"Indian Institute of Mass Communication, New Delhi"
"School of Planning & Architecture, New Delhi"
National Institute of Technology Delhi
"National Institute of Technology, Goa"
National Institute of Pharmaceutical Education and Research (NIPER) - Ahmedabad
"National Institute of Technology, Kurukshetra"
"Central Institute Of Plastics Engineering And Technology, Murthal"
"National Institute of Financial Management, Faridabad"
"National Institute of Technology, Srinagar"
Indian Institute of Management Sirmaur
"Indian Institute of Management, Ranchi"
National Institute of Foundry & Forge Technology
"Indian School of Mines, Dhanbad"
"National Institute of Technology, Jamshedpur"
"National Institute of Technology, Karnataka"
"Indian Institute of Management, Kozhikode"
"Indian Institute of Science Education & Research (IISER), Thiruvananthapuram"
"All India Institute of Medical Sciences, Bhopal"
School of Planning and Architecture-Bhopal
"Indian Institute of Technology, Indore"
"Indian Institute of Management, Indore"
All India Institute of Local Self-Government - Mumbai
"Government Polytechnic, Nagpur"
"Institute for Design of Electrical Measuring Instruments, Sion Mumbai"
"Film and Television Institute of India, Pune"
National Institute of Industrial Engineering - NITIE
National Institute of Technology Manipur
"Indian Institute of Information Technology, Senapati"
National Institute of Technology Meghalaya
National Institute of Technology Mizoram
"National Institute of Technology, Nagaland"
National Institute of Technology Puducherry
"Indian Institute of Science Education & Research (IISER), Mohali"
"All India Institute of Medical Sciences, Jodhpur"
Dakshina Bharat Hindi Prachar Sabha
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram"
"Rukmini Devi College of Fine Arts, Kalakshetra Foundation, Chennai"
Indian Institute of Handloom Technology
"National Institute of Technology, Warangal"
"National Institute of Technology, Agartala"
Academy of Scientific & Innovative Research
"Indian Institute of Information Technology, Allahabad"
"Indian Institute of Information Technology, Lucknow"
"Rajiv Gandhi Institute of Petroleum Technology, Rae Bareli"
"Indian Institute of Technology (Banaras Hindu University), Varanasi"
"Indirapuram Institute of higher studies, Ghaziabad"
Footwear Design & Development Institute
"Indian Institute of Information Technology, Kalyani"
"National Institute of Technology, Durgapur"
"Indian Institute of Engineering Science and Technology, Shibpur"
Indian Institute of Science Education & Research (IISER)
"Indian Institute of Technology, Kaharagpur"
"Satyajit Ray Film and Television Institute, Kolkata"
"University of Hyderabad, Hyderabad"
"Rajiv Gandhi University, Itanagar"
"Assam University, Silchar"
"Tezpur University, Tezpur"
"Central University of South Bihar, Patna"
"Mahatma Gandhi Central University, Motihari"
"Guru Ghasidas Vishwavidyalaya, Bilaspur"
University of Delhi
Jamia Millia Islamia University
Indira Gandhi National Open University
"Rajiv Gandhi National Aviation University, Amethi"
"Central Univeristy of Gujarat, Gandhinagar"
"Central University of Haryana, Mahendergarh"
Central University of Jammu
"Central University of Kashmir, Srinagar"
"Central University of Jharkhand, Ranchi"
"Central University of Karnataka, Gulbarga"
"Central Univeristy of Kerala, Kasaragod"
"Indira Gandhi National Tribal University, Amarkantak"
"Dr. Harisingh Gaur  Vishwavidyalaya, Sagar"
"Mahatama Gandhi Antarrashtriya Hindi Vishwavidyalaya, Wardha"
"Manipur University, Imphal"
"North Eastern Hill University, Shillong"
"Mizoram University, Aizwal"
Nagaland University
"Central University of Orissa, Koraput"
"Pondicherry Univeristy, Puducherry"
"Central University of Rajasthan, Jaipur"
"Sikkim  University, Gangtok"
Indian Maritime University
"Central University of Tamil Nadu, Tiruvarur"
"The English and Foreign Languages University, Hyderabad"
"Tripura University, Agartala"
"Babasheb Bhimrao Ambedkar University, Lucknow"
"Visva Bharati, Shantiniketan"
"Sri Satya Sai Institute of Higher Learning, Anantpur"
"Rastriya Sanskrit Vidyapeeth, Tirupathi"
"Vignan's Foundation of Science, Technology & Research, Guntur"
North Eastern Regional Institute of Science & Technology
"Nava Nalanda Mahavihara, Nalanda"
Indian Agricultural Research Institute New Delhi
"Indian Law Institute, Bhagwandas Road, New Delhi"
Jamia Hamdard
"TERI School of Advanced Studies, New Delhi"
"Rashtriya Sanskrit Sansthan, New Delhi"
"Gujarat Vidyapith, Ahmedabad"
"National Rail and Transportation Institute (NRTI), Vadodara"
"Lingaya's University, Faridabad"
"National Dairy  Research Institute, Karnal"
"Birla Institute of Technology, Ranchi"
"Christ University, Bangalore"
"Indian Institute of Science, Bangalore"
"Swami Vivekananda Yoga Anusandhana Samsthan, Bangalore"
"NITTE University, Mangalore"
"Sri Devraj Urs Acaedmy of Highehr Education and Research, Kolar"
"JSS Academy of Higher Education & Research, Mysuru"
"Manipal Academy of Higher Education, Manipal"
"Indian Institute of Space Science and Technology, Thiruvananthapuram"
"Lakshmibai National Institute of Physical Education, Gwalior"
"D.Y. Patil Educational Society , Kolhapur"
"Narsee Monjee Institute of Management Studies, Mumbai"
"Tata Institute of Fundamental Research, Mumbai"
"Datta Meghe Institute of Medical Sciences, Wardha"
"Dr. D .Y. Patil Vidyapeeth, Pune"
"MGM Institute of Health Sciences, Navi  Mumbai"
Siksha 'O' Anusandhan University
"Institute of Advanced Studies in Education, Churu"
"Jain Vishva Bharati Institute, Ladnun"
"LNM Institute of Information Technology, Jaipur"
"Shanmugha Arts, Science, Technology & Research Academy (SASTRA), Thanjavur"
Meenakshi Academy of Higher Education and Research
"Amrita Vishwa Vidyapeetham, Coimbatore"
Karpagam Academy of higher Education
"Gandhigram Rural Institute, Dindigul"
Bharath Institute of Higher Education & Research
"Hindustan Institute of Technology and Science, Kancheepuram"
"Sathyabama Institute of Science & Technology, Chennai"
"Sri Chandrasekharendra Saraswathi Vishwa Mahavidyalaya, Kancheepuram"
Noorul Islam Centre for Higher Education
"Vinayaka Missions Research Foundation, Salem"
"Sri Ramachandra Medical College and Research Institute, Chennai"
"Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science & Technology, Chennai"
"Vellore Institute of Technology, Vellore"
"Kalasalingam Academy of Research and Higher Education, Srivilliputhrur"
"International Institute of Information Technology, Hyderabad"
"Santosh University, Ghaziabad"
"Shobit Institute of Engineering & Technology, Meerut"
"Dayalbagh Educational Institute, Agra"
"Jaypee Institute of Information Technology, Noida"
"Central Institute of Higher Tibetan Studies, Varanasi"
Alwar School of Business and Computers
Integral Institute of Advanced Management
Centre for Management and Technology
Emerald’s Advanced Institute Of Management Studies(EAIMS)
International School of Management Patna
Prism School of Business and Entrepreneurship
"Entrepreneurship & Management Processes International, New Delhi"
"All India Management Association, New Delhi"
"Fostiima Business School, Dwarka"
Asia-Pacific Institute of Management
Fore School of Management
International Institute of Health Management Research
Jagannath International Management School
Apeejay School of Management
New Delhi Institute of Management
"International Management Centre, New Delhi"
Sri Sharada Institute of Indian Management - Research
IILM Institute For Higher Education
"Jagan Institute of Management Studies, New Delhi"
"International Management Institute, New Delhi"
Management Education & Research Institute
Udaybhansinhji Regional Institute of Cooperative Management
"MICA, Shela Ahmedabad"
Adani Institute of Infrastructure Management
Entrepreneurship Development Institute of India
"St. Kabir Institute of Professional Studies, Gujarat,"
Som-Lalit Institute Of Management Studies(Slims)
Indus School of Business Management
"Management Development Institue (MDI), Gurgaon"
Regional Institute of Management
"IILM Institute for Business and Management, Gurgaon"
"Ramanujan College of Management, Palwal"
Xavier Institute of Social Service
Jain Institute of Management and  Entrepreneurship
"SDM Institute for Management Development, Mysore"
Indus Business Academy
"IFIM Business School,Bangalore"
M S Ramaiah Institute of Management
Institute of Health Management Research Bangalore
"Patel Institute of Science & Management, Bangalore"
"NSB Academy, Bangalore"
"Prin. L. N. Welingkar Institute of Management Development and Research, Bangalore"
St. Joseph's Institute of Management
T.A.Pai Management Institute Manipal
Kirloskar Institute of Advanced Management Studies
International Institute of Business Studies
"Indore Management Institute and Research Centre, Indore"
"Veena Vadini College of Management, Gwalior"
"Peace College, Gwalior"
"Preston College, Gwalior"
"IMI Business School, Indore"
"Sapient Institute of Management Studies, Indore, MP"
Malwa Institute Of Management
"Anant Institute of Business Studies, Ashoknagar"
"Institute for Technology and Management, Mumbai"
N.L. Dalmia Institute of Management Studies & Research
"National Insurance Academy, Pune"
"Aditya Institute of Management Studies & Research, Mumbai"
National Institute of Securities Markets
"Institute of Management Technology, Nagpur"
Institute of Management & Computer Studies(IMCOST)
Sasmira's Institute of Management Studies & Research
Terna Public Charitable Trust's Terna Engineering College
"Dr.V.N.Bedekar Institute of Management Studies, Thane"
Audyogik Shikshan mandal institute of Business management and research
Mitcon Institute Of Management
Gurunanak Institute of Management Studies
Indira School of Business Studies
International Institute of Management and Human Resource Development (W)
International Institute of Management Studies
MILE-Management Institute For Leadership and Excellence
"MET's Institute of Computer Science, Bandra"
Oriental School of Business
Saibalaji International Intstitute of Management Sciences
Suryadatta Institute of Management and Mass Communication
Goa Institute of Management
Bunts Sangha'S Uma Krishna Shetty Institute of Management Studies and Research
D.E.Society's Institute of Management Development and Research(IMDR)
"Christ Institute of Management, Lavasa"
Indira Institute of Management
"Prin. L. N. Welingkar Institute of Management Development and Research, Mumbai"
Indian Institute of Materials Management (IIMM)
SMT.JAYSHREE SHARADCHANDRA KOTHARI BUSINESS SCHOOL
ST. FRANCIS INSTITUTE OF MANAGEMENT AND RESEARCH
"ASM's Institute of Business Management & Research (PGDM), Pune"
"International School of Management & Research , Pune"
Vivekanand Education Society Institute of Management
"Maratha Mandir’s Babasaheb Gawde Institute of Management Studies,Mumbai"
"Bhavan'S Centre For Communication and Management, Kharvelanagar"
Innovation-The Business School
Institute of Management and Information Science
Affinity Business School
Asian School of Business Management
Krupajal Business School
Astral Institute of Management Studies
"Regional College of Management, Bhubaneshwar"
Sophitorium Management College
"Indian Institute of Management, Amritsar"
"Taxila Business School, Mansarovar"
"Vyas Institute of Management, Jodhpur"
Institute of Rural Management
Great Lakes Institute of Management
Loyola Institute of Business Administration
Thiagarajar School Of Management
Vishwa Vishwani Institute of Systems and Mangement
Administrative Staff College of India
Woxsen School of Business
Vignana Jyothi Institute of Management
Engineering Staff College of India
Institute of Public Enterprise
Institute of Management Technology
Institute Of Insurance and Risk Management
Carlton Business School
Guru Nanak Institutions Technical Campus
Dhruva College of Management
Lal Bahadur Shastri Institute of Management and Technology
"Birla Institute of Management Technology, Greater Noida"
Centre For Management Development
G L Bajaj Institute of Management Studies
"IEM Institute of Business Management,Barabanki"
